Date,IPCA,INPC,IGP-M,IGP-DI,IPC-Br
2000-01-01,0.62,0.61,1.24,1.02,1.01
2000-02-01,0.13,0.05,0.35,0.19,0.05
2000-03-01,0.22,0.13,0.15,0.18,0.51
2000-04-01,0.42,0.09,0.23,0.13,0.25
2000-05-01,0.01,-0.05,0.31,0.67,0.4
2000-06-01,0.23,0.3,0.85,0.93,-0.01
2000-07-01,1.61,1.39,1.57,2.26,1.91
2000-08-01,1.31,1.21,2.39,1.82,0.86
2000-09-01,0.23,0.43,1.16,0.69,0.04
2000-10-01,0.14,0.16,0.38,0.37,0.02
2000-11-01,0.32,0.29,0.29,0.39,0.4
2000-12-01,0.59,0.55,0.63,0.76,0.62
2001-01-01,0.57,0.77,0.62,0.49,0.64
2001-02-01,0.46,0.49,0.23,0.34,0.4
2001-03-01,0.38,0.48,0.56,0.8,0.56
2001-04-01,0.58,0.84,1.0,1.13,0.86
2001-05-01,0.41,0.57,0.86,0.44,0.41
2001-06-01,0.52,0.6,0.98,1.46,0.52
2001-07-01,1.33,1.11,1.48,1.62,1.36
2001-08-01,0.7,0.79,1.38,0.9,0.54
2001-09-01,0.28,0.44,0.31,0.38,0.12
2001-10-01,0.83,0.94,1.18,1.45,0.71
2001-11-01,0.71,1.29,1.1,0.76,0.85
2001-12-01,0.65,0.74,0.22,0.18,0.7
2002-01-01,0.52,1.07,0.36,0.19,0.79
2002-02-01,0.36,0.31,0.06,0.18,0.14
2002-03-01,0.6,0.62,0.09,0.11,0.42
2002-04-01,0.8,0.68,0.56,0.7,0.71
2002-05-01,0.21,0.09,0.83,1.11,0.28
2002-06-01,0.42,0.61,1.54,1.74,0.55
2002-07-01,1.19,1.15,1.95,2.05,1.03
2002-08-01,0.65,0.86,2.32,2.36,0.76
2002-09-01,0.72,0.83,2.4,2.64,0.66
2002-10-01,1.31,1.57,3.87,4.21,1.14
2002-11-01,3.02,3.39,5.19,5.84,3.14
2002-12-01,2.1,2.7,3.75,2.7,1.94
2003-01-01,2.25,2.47,2.33,2.17,2.32
2003-02-01,1.57,1.46,2.28,1.59,1.37
2003-03-01,1.23,1.37,1.53,1.66,1.06
2003-04-01,0.97,1.38,0.92,0.41,1.12
2003-05-01,0.61,0.99,-0.26,-0.67,0.69
2003-06-01,-0.15,-0.06,-1.0,-0.7,-0.16
2003-07-01,0.2,0.04,-0.42,-0.2,0.34
2003-08-01,0.34,0.18,0.38,0.62,0.13
2003-09-01,0.78,0.82,1.18,1.05,0.76
2003-10-01,0.29,0.39,0.38,0.44,0.21
2003-11-01,0.34,0.37,0.49,0.48,0.33
2003-12-01,0.52,0.54,0.61,0.6,0.43
2004-01-01,0.76,0.83,0.88,0.8,1.08
2004-02-01,0.61,0.39,0.69,1.08,0.28
2004-03-01,0.47,0.57,1.13,0.93,0.46
2004-04-01,0.37,0.41,1.21,1.15,0.31
2004-05-01,0.51,0.4,1.31,1.46,0.71
2004-06-01,0.71,0.5,1.38,1.29,0.78
2004-07-01,0.91,0.73,1.31,1.14,0.59
2004-08-01,0.69,0.5,1.22,1.31,0.79
2004-09-01,0.33,0.17,0.69,0.48,0.01
2004-10-01,0.44,0.17,0.39,0.53,0.1
2004-11-01,0.69,0.44,0.82,0.82,0.37
2004-12-01,0.86,0.86,0.74,0.52,0.63
2005-01-01,0.58,0.57,0.39,0.33,0.85
2005-02-01,0.59,0.44,0.3,0.4,0.43
2005-03-01,0.61,0.73,0.85,0.99,0.7
2005-04-01,0.87,0.91,0.86,0.51,0.88
2005-05-01,0.49,0.7,-0.22,-0.25,0.79
2005-06-01,-0.02,-0.11,-0.44,-0.45,-0.05
2005-07-01,0.25,0.03,-0.34,-0.4,0.13
2005-08-01,0.17,0.0,-0.65,-0.79,-0.44
2005-09-01,0.35,0.15,-0.53,-0.13,0.09
2005-10-01,0.75,0.58,0.6,0.63,0.42
2005-11-01,0.55,0.54,0.4,0.33,0.57
2005-12-01,0.36,0.4,-0.01,0.07,0.46
2006-01-01,0.59,0.38,0.92,0.72,0.65
2006-02-01,0.41,0.23,0.01,-0.06,0.01
2006-03-01,0.43,0.27,-0.23,-0.45,0.22
2006-04-01,0.21,0.12,-0.42,0.02,0.34
2006-05-01,0.1,0.13,0.38,0.38,-0.19
2006-06-01,-0.21,-0.07,0.75,0.67,-0.4
2006-07-01,0.19,0.11,0.18,0.17,0.06
2006-08-01,0.05,-0.02,0.37,0.41,0.16
2006-09-01,0.21,0.16,0.29,0.24,0.19
2006-10-01,0.33,0.43,0.47,0.81,0.14
2006-11-01,0.31,0.42,0.75,0.57,0.24
2006-12-01,0.48,0.62,0.32,0.26,0.63
2007-01-01,0.44,0.49,0.5,0.43,0.69
2007-02-01,0.44,0.42,0.27,0.23,0.34
2007-03-01,0.37,0.44,0.34,0.22,0.48
2007-04-01,0.25,0.26,0.04,0.14,0.31
2007-05-01,0.28,0.26,0.04,0.16,0.25
2007-06-01,0.28,0.31,0.26,0.26,0.42
2007-07-01,0.24,0.32,0.28,0.37,0.28
2007-08-01,0.47,0.59,0.98,1.39,0.42
2007-09-01,0.18,0.25,1.29,1.17,0.23
2007-10-01,0.3,0.3,1.05,0.75,0.13
2007-11-01,0.38,0.43,0.69,1.05,0.27
2007-12-01,0.74,0.97,1.76,1.47,0.7
2008-01-01,0.54,0.69,1.09,0.99,0.97
2008-02-01,0.49,0.48,0.53,0.38,0.0
2008-03-01,0.48,0.51,0.74,0.7,0.45
2008-04-01,0.55,0.64,0.69,1.12,0.72
2008-05-01,0.79,0.96,1.61,1.88,0.87
2008-06-01,0.74,0.91,1.98,1.89,0.77
2008-07-01,0.53,0.58,1.76,1.12,0.53
2008-08-01,0.28,0.21,-0.32,-0.38,0.14
2008-09-01,0.26,0.15,0.11,0.36,-0.09
2008-10-01,0.45,0.5,0.98,1.09,0.47
2008-11-01,0.36,0.38,0.38,0.07,0.56
2008-12-01,0.28,0.29,-0.13,-0.44,0.52
2009-01-01,0.48,0.64,-0.44,0.01,0.83
2009-02-01,0.55,0.31,0.26,-0.13,0.21
2009-03-01,0.2,0.2,-0.74,-0.84,0.61
2009-04-01,0.48,0.55,-0.15,0.04,0.47
2009-05-01,0.47,0.6,-0.07,0.18,0.39
2009-06-01,0.36,0.42,-0.1,-0.32,0.12
2009-07-01,0.24,0.23,-0.43,-0.64,0.34
2009-08-01,0.15,0.08,-0.36,0.09,0.2
2009-09-01,0.24,0.16,0.42,0.25,0.18
2009-10-01,0.28,0.24,0.05,-0.04,0.01
2009-11-01,0.41,0.37,0.1,0.07,0.26
2009-12-01,0.37,0.24,-0.26,-0.11,0.24
2010-01-01,0.75,0.88,0.63,1.01,1.29
2010-02-01,0.78,0.7,1.18,1.09,0.68
2010-03-01,0.52,0.71,0.94,0.63,0.86
2010-04-01,0.57,0.73,0.77,0.72,0.76
2010-05-01,0.43,0.43,1.19,1.57,0.21
2010-06-01,0.0,-0.11,0.85,0.34,-0.21
2010-07-01,0.01,-0.07,0.15,0.22,-0.21
2010-08-01,0.04,-0.07,0.77,1.1,-0.08
2010-09-01,0.45,0.54,1.15,1.1,0.46
2010-10-01,0.75,0.92,1.01,1.03,0.59
2010-11-01,0.83,1.03,1.45,1.58,1.0
2010-12-01,0.63,0.6,0.69,0.38,0.72
2011-01-01,0.83,0.94,0.79,0.98,1.27
2011-02-01,0.8,0.54,1.0,0.96,0.49
2011-03-01,0.79,0.66,0.62,0.61,0.71
2011-04-01,0.77,0.72,0.45,0.5,0.95
2011-05-01,0.47,0.57,0.43,0.01,0.51
2011-06-01,0.15,0.22,-0.18,-0.13,-0.18
2011-07-01,0.16,0.0,-0.12,-0.05,-0.04
2011-08-01,0.37,0.42,0.44,0.61,0.4
2011-09-01,0.53,0.45,0.65,0.75,0.5
2011-10-01,0.43,0.32,0.53,0.4,0.26
2011-11-01,0.52,0.57,0.5,0.43,0.53
2011-12-01,0.5,0.51,-0.12,-0.16,0.79
2012-01-01,0.56,0.51,0.25,0.3,0.81
2012-02-01,0.45,0.39,-0.06,0.07,0.24
2012-03-01,0.21,0.18,0.43,0.56,0.6
2012-04-01,0.64,0.64,0.85,1.02,0.52
2012-05-01,0.36,0.55,1.02,0.91,0.52
2012-06-01,0.08,0.26,0.66,0.69,0.11
2012-07-01,0.43,0.43,1.34,1.52,0.22
2012-08-01,0.41,0.45,1.43,1.29,0.44
2012-09-01,0.57,0.63,0.97,0.88,0.54
2012-10-01,0.59,0.71,0.02,-0.31,0.48
2012-11-01,0.6,0.54,-0.03,0.25,0.45
2012-12-01,0.79,0.74,0.68,0.66,0.66
2013-01-01,0.86,0.92,0.34,0.31,1.01
2013-02-01,0.6,0.52,0.29,0.2,0.33
2013-03-01,0.47,0.6,0.21,0.31,0.72
2013-04-01,0.55,0.59,0.15,-0.06,0.52
2013-05-01,0.37,0.35,0.0,0.32,0.32
2013-06-01,0.26,0.28,0.75,0.76,0.35
2013-07-01,0.03,-0.13,0.26,0.14,-0.17
2013-08-01,0.24,0.16,0.15,0.46,0.2
2013-09-01,0.35,0.27,1.5,1.36,0.3
2013-10-01,0.57,0.61,0.86,0.63,0.55
2013-11-01,0.54,0.54,0.29,0.28,0.68
2013-12-01,0.92,0.72,0.6,0.69,0.69
2014-01-01,0.55,0.63,0.48,0.4,0.99
2014-02-01,0.69,0.64,0.38,0.85,0.66
2014-03-01,0.92,0.82,1.67,1.48,0.85
2014-04-01,0.67,0.78,0.78,0.45,0.77
2014-05-01,0.46,0.6,-0.13,-0.45,0.52
2014-06-01,0.4,0.26,-0.74,-0.63,0.33
2014-07-01,0.01,0.13,-0.61,-0.55,0.1
